target,biasedFitness,capacity,diversity,fitness,avg_eff,max_p,max_w,mean,min_p,min_w,std,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,p_31,p_32,p_33,p_34,p_35,p_36,p_37,p_38,p_39,p_40,p_41,p_42,p_43,p_44,p_45,p_46,p_47,p_48,p_49,w_0,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,w_11,w_12,w_13,w_14,w_15,w_16,w_17,w_18,w_19,w_20,w_21,w_22,w_23,w_24,w_25,w_26,w_27,w_28,w_29,w_30,w_31,w_32,w_33,w_34,w_35,w_36,w_37,w_38,w_39,w_40,w_41,w_42,w_43,w_44,w_45,w_46,w_47,w_48,w_49
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_0.55_0.45_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,-229.09999084472656,5105,2275.49365234375,897.9671020507812,0.4899999797344208,964.0,992.0,528.6599731445312,14.0,79.0,274.7355041503906,786,779,17,575,659,831,441,541,594,856,332,681,208,483,669,470,691,143,683,584,448,519,730,495,194,903,285,837,891,540,200,196,14,720,500,702,744,55,501,808,19,145,365,597,464,964,146,188,232,358,514,120,808,701,637,147,844,603,520,954,512,390,607,990,322,878,473,400,805,531,367,561,899,874,893,113,278,930,429,750,549,992,94,325,874,371,738,650,108,145,561,194,952,387,842,449,795,940,79,188
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_0.55_0.45_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,-264.25048828125,21454,1029.1055908203125,317.7597351074219,2.129999876022339,933.0,939.0,479.6000061035156,31.0,10.0,277.2384033203125,289,779,454,575,921,434,100,570,847,169,433,693,298,402,76,90,566,478,402,584,479,381,730,173,709,866,391,932,891,540,118,409,494,342,762,228,31,598,387,701,933,816,365,597,464,61,176,69,882,675,81,385,808,408,21,77,671,487,685,629,75,65,897,539,834,370,686,75,110,104,29,711,759,873,29,512,939,417,820,235,664,932,516,593,330,393,304,650,654,156,635,194,706,274,264,820,644,849,681,10
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_0.55_0.45_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,699.849609375,8715,2986.524169921875,1728.85302734375,2.6500000953674316,999.0,932.0,489.489990234375,31.0,9.0,281.4752502441406,688,872,454,999,921,434,220,570,847,687,433,693,298,402,76,90,566,868,402,95,479,381,158,345,325,866,391,932,94,156,414,409,494,342,762,493,31,598,387,547,933,816,677,165,780,61,176,327,882,946,919,479,86,408,21,77,304,487,685,629,75,65,791,539,834,370,686,75,110,585,351,711,900,873,288,512,411,417,820,204,683,932,274,593,330,393,153,9,654,156,719,631,706,754,264,820,644,849,681,10
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_0.55_0.45_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,-409.44970703125,24207,1965.055419921875,659.0775756835938,1.0399999618530273,994.0,968.0,499.5299987792969,17.0,21.0,269.523193359375,786,779,17,701,659,204,100,570,257,856,332,994,361,377,265,324,255,302,375,584,416,381,730,173,738,903,96,462,891,77,118,292,926,342,601,228,91,55,752,368,309,509,321,597,953,182,509,757,775,675,537,385,808,322,21,147,671,603,566,112,497,770,897,526,835,794,484,573,774,104,29,817,967,808,29,526,278,744,820,235,664,968,516,350,428,393,521,650,485,145,635,194,702,274,842,895,644,636,389,618
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_0.55_0.45_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,-245.14990234375,26155,1948.775146484375,742.1163330078125,0.4899999797344208,964.0,992.0,520.4000244140625,5.0,48.0,284.87725830078125,786,779,303,575,98,831,441,541,594,856,332,212,361,267,669,324,416,143,628,584,448,519,730,772,709,903,285,837,891,540,200,464,14,174,500,228,587,286,501,508,131,5,365,597,111,964,146,207,232,675,390,885,478,701,978,147,844,100,908,447,550,199,607,990,322,878,48,400,805,954,367,561,899,874,893,113,271,930,837,136,549,992,731,325,874,371,738,650,494,145,561,194,952,375,842,449,795,955,79,188
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_0.55_0.45_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,-39.7998046875,10761,2944.6875,1303.219482421875,2.0299999713897705,921.0,939.0,468.6400146484375,17.0,10.0,264.885009765625,289,779,17,575,921,434,100,570,257,169,536,681,361,402,276,324,889,478,375,584,416,381,730,173,709,903,285,462,891,540,118,893,494,342,601,228,643,55,387,701,309,728,365,597,464,61,176,69,775,675,81,385,808,322,21,147,671,603,566,629,75,117,897,526,835,370,357,573,774,104,29,817,759,808,29,526,939,930,820,235,664,83,516,325,330,393,304,650,485,145,635,194,706,274,842,449,644,636,638,10
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_0.55_0.45_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,-559.74951171875,19858,3455.170654296875,1246.964599609375,0.60999995470047,986.0,952.0,483.5,17.0,77.0,263.2960510253906,786,779,17,701,659,831,986,475,528,856,332,681,361,377,276,288,255,302,375,584,416,615,85,495,738,903,285,733,83,77,200,292,926,371,601,228,91,39,752,368,601,728,321,59,464,182,509,757,775,936,537,584,211,322,683,253,829,395,425,447,497,343,607,526,664,152,484,936,774,104,367,817,267,607,592,113,278,744,660,276,756,99,731,350,428,413,738,650,149,145,280,588,952,375,842,895,77,302,79,928
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_0.55_0.45_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,-154.849609375,16831,2794.598388671875,1172.4019775390625,1.0199999809265137,994.0,990.0,473.3800048828125,17.0,21.0,279.1218566894531,21,337,329,912,506,663,619,541,594,17,605,994,208,483,265,470,691,302,683,327,278,971,173,773,194,801,282,733,83,524,382,892,102,720,419,702,740,816,501,808,19,145,321,59,41,964,146,747,356,936,537,584,211,21,463,253,829,909,425,112,512,390,324,990,322,794,379,400,265,531,57,480,967,41,592,238,260,744,429,750,756,968,94,350,736,371,521,260,149,591,561,572,861,387,306,895,77,302,389,188
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_0.55_0.45_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,-53.85009765625,13401,2525.85009765625,1107.0150146484375,1.71999990940094,938.0,973.0,464.82000732421875,59.0,10.0,281.7719421386719,289,872,370,91,921,434,100,570,781,169,536,156,479,402,76,177,566,868,402,938,562,381,158,173,325,325,391,932,94,260,118,893,494,342,762,493,643,598,387,547,309,816,59,673,375,61,176,69,739,560,919,385,86,65,21,77,671,487,566,629,75,117,897,539,835,370,357,779,110,973,29,941,759,808,288,526,939,742,820,218,664,83,516,291,330,393,304,750,727,156,719,617,706,274,264,820,644,636,638,10
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_0.55_0.45_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,-208.19873046875,14906,2525.654541015625,1022.0352783203125,1.7299998998641968,971.0,992.0,480.5799865722656,19.0,10.0,277.99371337890625,307,864,378,912,218,204,619,541,528,828,605,137,469,377,669,470,691,143,610,645,448,971,85,773,194,801,282,733,83,77,382,892,926,371,500,702,740,816,898,368,19,145,89,496,953,182,146,757,232,358,537,120,211,701,463,253,829,395,520,112,512,343,521,363,322,878,379,936,805,496,57,480,899,607,893,278,260,744,101,276,18,992,196,350,736,371,761,260,108,591,561,572,861,592,10,458,77,302,389,928
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_0.55_0.45_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,-229.09999084472656,5105,2275.49365234375,897.9671020507812,0.4899999797344208,964.0,992.0,528.6599731445312,14.0,79.0,274.7355041503906,786,779,17,575,659,831,441,541,594,856,332,681,208,483,669,470,691,143,683,584,448,519,730,495,194,903,285,837,891,540,200,196,14,720,500,702,744,55,501,808,19,145,365,597,464,964,146,188,232,358,514,120,808,701,637,147,844,603,520,954,512,390,607,990,322,878,473,400,805,531,367,561,899,874,893,113,278,930,429,750,549,992,94,325,874,371,738,650,108,145,561,194,952,387,842,449,795,940,79,188
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_0.55_0.45_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,-245.14990234375,26155,1948.775146484375,742.1163330078125,0.4899999797344208,964.0,992.0,520.4000244140625,5.0,48.0,284.87725830078125,786,779,303,575,98,831,441,541,594,856,332,212,361,267,669,324,416,143,628,584,448,519,730,772,709,903,285,837,891,540,200,464,14,174,500,228,587,286,501,508,131,5,365,597,111,964,146,207,232,675,390,885,478,701,978,147,844,100,908,447,550,199,607,990,322,878,48,400,805,954,367,561,899,874,893,113,271,930,837,136,549,992,731,325,874,371,738,650,494,145,561,194,952,375,842,449,795,955,79,188
